method,verified,total,accuracy,mean_generation_seconds,time_rows,mean_total_tokens,token_accounting,token_rows,mean_estimated_tokens,estimated_token_rows,negative_micro,negative_macro
autospec,514,832,0.6177884615384616,54.77132673407379,832,25154.53846153846,exact,832,,,,
clause2inv,64,832,0.07692307692307693,29.038236034372463,366,,estimated,,385.7978142076503,366,0.06272587285126174,0.0852221052938343
sespec,414,832,0.49759615384615385,117.30753759142422,832,44807.046987951806,exact,830,,,0.5906577843054973,0.5962757429929696
naive,379,832,0.45552884615384615,28.866550124320383,832,4493.3713942307695,exact,832,,,0.5605119597146454,0.5667609320741168
loopgym_r1_no_houdini,452,832,0.5432692307692307,53.51979170150904,466,5849.635193133047,exact,466,630.139344262295,366,0.6684431389005455,0.6681189530748072
loopgym_r1_houdini,504,832,0.6057692307692307,66.60205052821144,832,6928.299278846154,exact,832,,,0.7125052454888796,0.6957897087956764
loopgym_r4_houdini,646,832,0.7764423076923077,293.7223346557623,466,29789.570815450643,exact,466,3114.0054644808743,366,0.820383969785984,0.8129685351700636
daikon,174,832,0.2091346153846154,4.889011531358567,832,0.0,not_called,832,,,0.5072545111204364,0.5113672081277433
