method,component,tasks,timing_basis,started_utc,finished_utc,calendar_envelope_seconds,active_wall_seconds,session_count,sessions
autospec,fresh full-832 AutoSpec generation,832,generation event timestamp plus/minus per-task perf_counter duration; sessions split after 300s with no active task,2026-07-30T09:30:26.407395+00:00,2026-07-30T13:23:40.147564+00:00,13993.740169,6997.403420000001,2,"[{'started_utc': '2026-07-30T09:30:26.407395+00:00', 'finished_utc': '2026-07-30T10:25:35.971311+00:00', 'seconds': 3309.563916}, {'started_utc': '2026-07-30T12:22:12.308060+00:00', 'finished_utc': '2026-07-30T13:23:40.147564+00:00', 'seconds': 3687.839504}]"
clause2inv,native Clause2Inv supported-366 batch,366,runner.log start mtime to completed results.jsonl mtime,2026-07-23T12:47:55.684717+00:00,2026-07-23T13:25:04.964339+00:00,2229.279622,2229.279622,1,"[{'started_utc': '2026-07-23T12:47:55.684717+00:00', 'finished_utc': '2026-07-23T13:25:04.964339+00:00', 'seconds': 2229.279622}]"
sespec,fresh full-832 SESpec generation,832,generation event timestamp plus/minus per-task perf_counter duration; sessions split after 300s with no active task,2026-07-30T09:32:54.384409+00:00,2026-07-30T13:00:07.784048+00:00,12433.399639,12433.399639,1,"[{'started_utc': '2026-07-30T09:32:54.384409+00:00', 'finished_utc': '2026-07-30T13:00:07.784048+00:00', 'seconds': 12433.399639}]"
naive,fresh full-832 true-Naive generation,832,generation event timestamp plus/minus per-task perf_counter duration; sessions split after 300s with no active task,2026-07-31T04:13:48.288945+00:00,2026-07-31T05:06:27.283516+00:00,3158.994571,3158.994571,1,"[{'started_utc': '2026-07-31T04:13:48.288945+00:00', 'finished_utc': '2026-07-31T05:06:27.283516+00:00', 'seconds': 3158.994571}]"
loopgym_r1_no_houdini,reused Core-366 R1-NoH batch,366,launch event timestamp and result-file birth timestamp,2026-07-24T07:52:42.735000+00:00,2026-07-24T08:17:08.490142+00:00,1465.755142,1465.755142,1,"[{'started_utc': '2026-07-24T07:52:42.735000+00:00', 'finished_utc': '2026-07-24T08:17:08.490142+00:00', 'seconds': 1465.755142}]"
loopgym_r1_no_houdini,fresh Loopy-466 R1-NoH generation,466,generation event timestamp plus/minus per-task perf_counter duration; sessions split after 300s with no active task,2026-07-30T09:21:55.845147+00:00,2026-07-30T10:20:31.374936+00:00,3515.529789,3515.529789,1,"[{'started_utc': '2026-07-30T09:21:55.845147+00:00', 'finished_utc': '2026-07-30T10:20:31.374936+00:00', 'seconds': 3515.529789}]"
loopgym_r1_houdini,fresh full-832 R1-H generation,832,generation event timestamp plus/minus per-task perf_counter duration; sessions split after 300s with no active task,2026-07-31T04:14:16.844607+00:00,2026-07-31T05:15:10.197939+00:00,3653.353332,3653.353332,1,"[{'started_utc': '2026-07-31T04:14:16.844607+00:00', 'finished_utc': '2026-07-31T05:15:10.197939+00:00', 'seconds': 3653.353332}]"
loopgym_r4_houdini,reused Core-366 R4-H batch,366,launch event timestamp and result-file birth timestamp,2026-07-24T09:26:59.540000+00:00,2026-07-24T11:14:45.709187+00:00,6466.169187,6466.169187,1,"[{'started_utc': '2026-07-24T09:26:59.540000+00:00', 'finished_utc': '2026-07-24T11:14:45.709187+00:00', 'seconds': 6466.169187}]"
loopgym_r4_houdini,fresh Loopy-466 R4-H generation,466,generation event timestamp plus/minus per-task perf_counter duration; sessions split after 300s with no active task,2026-07-30T09:26:15.205991+00:00,2026-07-30T14:13:03.055522+00:00,17207.849531,17207.849531,1,"[{'started_utc': '2026-07-30T09:26:15.205991+00:00', 'finished_utc': '2026-07-30T14:13:03.055522+00:00', 'seconds': 17207.849531}]"
