method,token_rows_exact,tokens_exact,token_rows_estimated,tokens_estimated,token_rows_unavailable,tokens_unavailable,token_rows_not_called,tokens_not_called,task_seconds_known,task_time_rows,mean_task_seconds,mean_tokens_exact,mean_tokens_estimated,active_wall_seconds,batch_component_count,batch_tasks_timed
autospec,832,20928576,0,0,0,0,0,0,45569.74384274939,832,54.77132673407379,25154.53846153846,,,,
clause2inv,0,0,366,141202,0,0,466,0,10627.994388580322,366,29.038236034372463,,385.7978142076503,2229.279622,1,366
sespec,830,37189849,0,0,2,0,0,0,97599.87127606495,832,117.30753759142422,44807.046987951806,,12433.399639,1,832
naive,832,3738485,0,0,0,0,0,0,24016.96970343456,832,28.866550124320383,4493.3713942307695,,3158.994571,1,832
loopgym_r1_no_houdini,466,2725930,366,230631,0,0,0,0,24940.222932903212,466,53.51979170150904,5849.635193133047,630.139344262295,4981.284931,2,832
loopgym_r1_houdini,832,5764345,0,0,0,0,0,0,55412.90603947191,832,66.60205052821144,6928.299278846154,,3653.353332,1,832
loopgym_r4_houdini,466,13881940,366,1139726,0,0,0,0,136874.60794958525,466,293.7223346557623,29789.570815450643,3114.0054644808743,23674.018718,2,832
